ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group,Q12_23_Group
NA,5/12/2011 0:19,5/12/2011 0:36,1,1,54,1,NA,NA,NA,1,1,NA,NA,1,1,0,0,1,1,0,2,2,0,2,1,0,1,0,2,1,2,0,0,1,1,NA
NA,5/12/2011 0:38,5/12/2011 0:40,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5/12/2011 8:39,5/12/2011 9:04,1,1,80,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,2,NA,NA,1,0,1,0,1,NA,0,0,0,NA,NA,NA
NA,5/12/2011 9:12,5/12/2011 9:40,1,1,20,NA,NA,1,NA,NA,NA,1,NA,2,1,2,1,0,0,2,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,NA
NA,5/12/2011 10:02,5/12/2011 10:12,1,1,100,1,1,1,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,1,0,0,0,0,1,2,NA
NA,5/12/2011 9:46,5/12/2011 10:32,1,1,60,1,1,NA,NA,NA,NA,NA,NA,1,0,2,0,0,2,2,1,0,1,2,1,0,1,0,2,2,0,0,0,2,1,NA
NA,5/12/2011 12:50,5/12/2011 12:57,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,5/12/2011 13:44,5/12/2011 13:53,1,1,100,1,1,1,NA,NA,1,NA,NA,2,1,0,2,2,2,2,2,2,2,1,1,0,2,0,1,1,1,0,0,1,2,0
NA,5/12/2011 13:49,5/12/2011 13:59,1,1,85,1,1,1,NA,1,1,NA,NA,2,2,2,1,1,1,0,0,1,0,2,2,1,2,0,0,2,0,0,0,0,0,2
NA,5/12/2011 15:10,5/12/2011 15:12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5/12/2011 15:12,5/12/2011 15:25,1,1,30,1,NA,NA,1,1,1,1,1,2,1,2,0,0,0,2,0,2,1,1,0,0,1,0,2,0,0,1,1,0,0,2
21583,5/16/2011 10:56,5/16/2011 11:02,1,1,60,1,1,1,NA,NA,NA,NA,NA,2,2,0,0,1,2,1,2,2,0,2,0,0,2,0,1,1,0,0,0,0,0,2
NA,5/16/2011 11:56,5/16/2011 11:58,1,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266521,5/16/2011 13:54,5/16/2011 13:57,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871658,5/16/2011 13:55,5/16/2011 13:57,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255145,5/16/2011 13:55,5/16/2011 13:58,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319671,5/16/2011 13:52,5/16/2011 13:59,1,1,75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1085161,5/16/2011 13:52,5/16/2011 13:59,1,1,100,1,1,NA,NA,NA,1,NA,NA,2,2,0,0,2,2,1,2,0,2,1,1,1,2,1,2,0,0,0,2,0,2,2
405275,5/16/2011 13:52,5/16/2011 14:00,1,1,100,1,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,1,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0
1234041,5/16/2011 13:52,5/16/2011 14:00,1,1,100,1,1,NA,NA,1,1,NA,NA,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0
284910,5/16/2011 13:53,5/16/2011 14:00,1,1,95,1,1,1,NA,NA,NA,1,NA,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,0,1,1,1,2,1,2,1
1275663,5/16/2011 13:53,5/16/2011 14:01,1,1,100,1,1,1,NA,1,1,1,1,2,2,0,0,2,2,2,2,2,2,2,2,1,2,0,1,2,0,0,1,0,1,2
44483,5/16/2011 13:52,5/16/2011 14:01,1,1,97,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA
1275037,5/16/2011 13:53,5/16/2011 14:01,1,1,100,NA,NA,NA,1,1,1,1,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA
927033,5/16/2011 13:52,5/16/2011 14:02,1,1,100,1,NA,NA,NA,NA,1,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1,2
1267100,5/16/2011 13:53,5/16/2011 14:02,1,1,100,1,1,1,1,1,1,NA,NA,1,2,0,1,1,1,1,1,0,1,0,0,0,2,1,0,1,0,0,0,2,2,1
585880,5/16/2011 13:52,5/16/2011 14:02,1,1,100,1,1,NA,1,1,1,1,1,2,2,0,0,2,2,2,2,2,1,2,2,0,2,0,1,0,0,0,0,2,2,1
57769,5/16/2011 13:54,5/16/2011 14:02,1,1,100,1,1,1,NA,NA,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
528442,5/16/2011 13:54,5/16/2011 14:02,1,1,10,1,NA,NA,NA,NA,NA,1,1,2,0,0,0,2,2,2,2,1,2,1,2,2,2,2,2,2,0,0,0,1,1,1
498748,5/16/2011 13:54,5/16/2011 14:02,1,1,100,1,1,1,NA,NA,1,1,NA,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
1272686,5/16/2011 13:55,5/16/2011 14:02,1,1,100,1,1,1,NA,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,0,2,1,2,1,1,1,1,2,0,2,2
1225451,5/16/2011 13:53,5/16/2011 14:02,1,1,100,1,1,1,1,1,NA,1,1,2,0,1,0,2,2,2,2,1,1,0,0,0,2,0,1,1,0,0,0,0,2,1
973776,5/16/2011 13:55,5/16/2011 14:03,1,1,100,1,1,1,NA,1,1,1,1,1,2,2,1,0,0,0,1,1,1,1,0,2,1,2,2,2,2,1,2,0,2,1
1237269,5/16/2011 13:54,5/16/2011 14:04,1,1,87,1,1,1,NA,NA,NA,NA,NA,0,1,0,0,1,2,2,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
713869,5/16/2011 13:52,5/16/2011 14:04,1,1,100,NA,1,NA,1,NA,1,1,1,1,2,0,0,1,2,1,2,1,2,2,2,0,1,0,1,2,1,0,1,2,2,0
765972,5/16/2011 13:53,5/16/2011 14:04,1,1,100,1,1,1,1,NA,1,1,1,2,2,0,0,2,2,2,2,2,2,2,2,2,1,2,1,1,0,0,2,1,2,2
382221,5/16/2011 13:53,5/16/2011 14:04,1,1,50,NA,1,1,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0
1278706,5/16/2011 13:56,5/16/2011 14:05,1,1,81,1,1,1,1,1,NA,NA,NA,2,2,1,0,2,2,2,2,2,2,2,1,1,2,1,1,0,0,0,1,1,2,2
1162457,5/16/2011 13:58,5/16/2011 14:05,1,1,100,1,NA,NA,NA,1,1,1,1,2,1,1,0,2,2,2,2,2,0,2,0,0,2,0,1,0,0,0,0,1,0,1
369971,5/16/2011 13:52,5/16/2011 14:06,1,1,98,1,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1251077,5/16/2011 13:59,5/16/2011 14:06,1,1,100,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704016,5/16/2011 13:53,5/16/2011 14:06,1,1,75,NA,NA,NA,NA,NA,1,NA,NA,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,0,2,2
1616728,5/16/2011 13:56,5/16/2011 14:07,1,1,100,1,1,1,NA,1,1,1,1,0,0,2,2,2,2,2,2,1,1,2,1,2,0,2,0,2,2,2,2,0,0,2
539826,5/16/2011 13:52,5/16/2011 14:07,1,1,100,NA,1,NA,NA,NA,1,NA,NA,2,1,0,1,1,1,2,2,2,2,1,0,0,2,0,2,1,1,1,0,0,0,1
92396,5/16/2011 13:53,5/16/2011 14:07,1,1,100,1,1,1,NA,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,0,1,1,1,2,1,2,1
1253851,5/16/2011 13:57,5/16/2011 14:07,1,1,20,1,1,NA,NA,1,1,1,NA,1,2,0,1,1,1,2,1,2,2,2,0,0,2,2,0,2,1,1,1,1,2,2
1261226,5/16/2011 13:55,5/16/2011 14:07,1,1,100,1,1,1,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,2,0,0,2,1,2,2,2,2,2,1,2,0
653623,5/16/2011 13:58,5/16/2011 14:07,1,1,100,NA,1,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,2,2,2,1,0,0,2,0,0,0,0,0,2,2,2,0
